Exercise,Category,Difficulty,CaloriesPerHour,TargetMuscles
Walking,Cardio,Beginner,280,Lower Body
Jogging,Cardio,Intermediate,400,Full Body
Swimming,Cardio,Intermediate,450,Full Body
Cycling,Cardio,Beginner,350,Lower Body
Yoga,Flexibility,Beginner,200,Full Body
Push-ups,Strength,Beginner,250,Upper Body
Squats,Strength,Beginner,200,Lower Body
Planks,Core,Beginner,150,Core
Lunges,Strength,Intermediate,200,Lower Body
Burpees,HIIT,Advanced,600,Full Body
Jump Rope,Cardio,Intermediate,500,Full Body
Pilates,Core,Intermediate,250,Core
Dumbbell Rows,Strength,Intermediate,300,Upper Body
Bench Press,Strength,Advanced,350,Upper Body
Deadlifts,Strength,Advanced,400,Full Body
